system,benchmark_family,benchmark,coder_1_primary_paradigm,coder_1_control_subparadigm,coder_1_retrieval_tag,coder_1_analysis_tag,coder_1_primary_scenario,coder_1_evidence_location,coder_1_rationale,coder_2_primary_paradigm,coder_2_control_subparadigm,coder_2_retrieval_tag,coder_2_analysis_tag,coder_2_primary_scenario,coder_2_evidence_location,coder_2_rationale,adjudicated_primary_paradigm,adjudicated_control_subparadigm,adjudicated_retrieval_tag,adjudicated_analysis_tag,adjudicated_primary_scenario,adjudicator,adjudication_basis,notes
Huang et al.,Defects4J,Defects4J v1.2/2.0,Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Abstract,Figure 1 Section II-D  Section III-C  Section III-D，该论文专门针对 5 种大语言模型在 NMT 微调范式下的程序修复能力进行实证研究，在微调过程中对模型参数进行更新,Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Abstract,Figure 1 Section II-D  Section III-C  Section III-D，执行了全参数微调，以评估架构权重更新对代码修复效能的影响。,,,,,,,,
Jiang et al.,Defects4J,Defects4J v1.2/2.0,Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Section 3.2 Section 4.1,该研究对比了 LLM 在 Zero-shot 和 Fine-tuning 下的表现，重点贡献在于通过对 InCoder 和 CodeGen 等模型进行针对性微调,Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Section 3.2 Section 4.1,对 InCoder 和 CodeGen 等模型进行针对性微调,,,,,,,,
VulMaster,Vulnerability repair datasets,CVEFixes,Fine-Tuning,Full Fine-Tuning,no,yes,Vulnerability repair,Section 3  Section 4.1,该论文专注于安全漏洞修复（AVR），通过微调 CodeT5 模型，并提出通过增加输入代码窗口（Context）和引入更多信息源（如提交信息、CVE 描述）来增强修复能力，属于参数更新驱动的微调范式 。,Fine-Tuning,Full Fine-Tuning,no,yes,Vulnerability repair,Section 3  Section 4.1,通过微调 CodeT5 并整合提交信息、CVE 描述等外部上下文，实现在参数更新驱动,,,,,,,,
RepairCAT,Other,APR Competition 2024,Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Section III-B Section III-C,明确采用了 LoRA 方法对 Llama-2 模型进行了参数高效微调,Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Section III-B Section III-C,明确采用了 LoRA 方法对 Llama-2 模型进行了参数高效微调,,,,,,,,
RepairLLaMA,HumanEval-Java,HumanEval-Java,Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.2,Section 3.3，摘要图表说明为peft,Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.2,Section 3.3，利用低秩自适应（PEFT）方法在局部 Benchmark 上提升大模型的修复能力，避免了全量微调的高昂算力成本。,,,,,,,,
MORepair,HumanEval-Java,HumanEval-Java,Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.1,Section 3.2，摘要图表说明为peft,Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.1,Section 3.2，图表显示为peft,,,,,,,,
Luo et al.,HumanEval-Java,HumanEval-Java,Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.2,Section 4.1，核心实现是基于 LoRA 等 PEFT 技术在分布式客户端上更新模型权重 。,Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.2,Section 4.1，核心实现是基于 LoRA 等 PEFT 技术在分布式客户端上更新架构权重 。,,,,,,,,
Li et al.,HumanEval-Java,HumanEval-Java,Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.1,Figure 2，摘要图表说明为peft,Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.1,Figure 2，摘要图表说明为peft,,,,,,,,
Ruiz et al.,HumanEval-Java,HumanEval-Java,Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.3,Section 4.2，摘要图表说明为peft,Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.3,Section 4.2，利用参数高效微调（PEFT）在有限算力下优化模型对特定编程语言的修复效果。,,,,,,,,
KNOD,Defects4J,Defects4J v1.2/2.0,Fine-Tuning,Knowledge Distillation,no,yes,Localized benchmark repair,Abstract Section 3.1 Section 4.1 Table 2,通过**知识蒸馏（Knowledge Distillation）**将领域知识，从教师模型迁移到学生模型中进行训练,Fine-Tuning,Knowledge Distillation,no,yes,Localized benchmark repair,Abstract Section 3.1 Section 4.1 Table 2,通过知识蒸馏将领域知识从教师模型迁移到学生模型中，以引导训练过程。,,,,,,,,
DistiLRR,Other,HumanEval-Perl,Fine-Tuning,Knowledge Distillation,no,yes,Localized benchmark repair,Abstract Section 3.2 Section 4.1,通过将高资源语言（如 Java）中学习到的修复知识，通过**知识蒸馏（Knowledge Distillation）**的方式迁移到低资源语言（如 Ruby，Go）的模型训练中，并使用了抽象语法树（AST）等分析产物来增强跨语言的泛化能力 。,Fine-Tuning,Knowledge Distillation,no,yes,Localized benchmark repair,Abstract Section 3.2 Section 4.1,将高资源语言的修复知识通过蒸馏迁移至低资源语言模型，并利用 AST 分析优化泛化性。,,,,,,,,
NARRepair,Defects4J,Defects4J v1.2/2.0,Fine-Tuning,Knowledge Distillation,no,yes,Localized benchmark repair,Section 3.2 Teacher-Student Training Section 4.1,通过一个预训练的自回归（AR）教师模型来引导非自回归（NAR）学生模型的训练,Fine-Tuning,Knowledge Distillation,no,yes,Localized benchmark repair,Section 3.2 Teacher-Student Training Section 4.1,利用预训练的自回归（AR）模型作为教师，引导非自回归（NAR）学生模型的训练。,,,,,,,,
RePair,Other,CodeNet4Repair,Fine-Tuning,RLFT,no,yes,Localized benchmark repair,Abstract Section 2.1 Figure 1,利用强化学习（RL）开发了一个模拟编译器的奖励模型（Reward Model），通过**过程反馈（Process-based Feedback）**来迭代优化小规模语言模型的修复策略。,Fine-Tuning,RLFT,no,yes,Localized benchmark repair,Abstract Section 2.1 Figure 1,利用强化学习开发奖励模型，通过基于过程的反馈（PBF）迭代优化小模型改进策略,,,,,,,,
