system,primary_paradigm,benchmark_family,benchmark,primary_scenario,rationale
Huang et al.,Fine-Tuning,Defects4J,Defects4J v1.2/2.0,Localized benchmark repair,localized Java APR benchmark
Jiang et al.,Fine-Tuning,Defects4J,Defects4J v1.2/2.0,Localized benchmark repair,localized Java APR benchmark
VulMaster,Fine-Tuning,Vulnerability repair datasets,CVEFixes,Vulnerability repair,security patching benchmark
RepairCAT,Fine-Tuning,Other,APR Competition 2024,Localized benchmark repair,competition-style localized repair task
RepairLLaMA,Fine-Tuning,HumanEval-Java,HumanEval-Java,Localized benchmark repair,function-level benchmark
MORepair,Fine-Tuning,HumanEval-Java,HumanEval-Java,Localized benchmark repair,function-level benchmark
Luo et al.,Fine-Tuning,HumanEval-Java,HumanEval-Java,Localized benchmark repair,function-level benchmark
Li et al.,Fine-Tuning,HumanEval-Java,HumanEval-Java,Localized benchmark repair,function-level benchmark
Ruiz et al.,Fine-Tuning,HumanEval-Java,HumanEval-Java,Localized benchmark repair,function-level benchmark
KNOD,Fine-Tuning,Defects4J,Defects4J v1.2/2.0,Localized benchmark repair,localized Java APR benchmark
DistiLRR,Fine-Tuning,Other,HumanEval-Perl,Localized benchmark repair,localized benchmarked code repair
NARRepair,Fine-Tuning,Defects4J,Defects4J v1.2/2.0,Localized benchmark repair,localized Java APR benchmark
RePair,Fine-Tuning,Other,CodeNet4Repair,Localized benchmark repair,localized benchmarked code repair
SecRepair,Fine-Tuning,Other,InstructVul,Vulnerability repair,security repair benchmark
SWE-RL,Fine-Tuning,SWE-bench Verified,SWE-bench Verified,Repository-level issue resolution,repository issue benchmark
AdaPatcher,Fine-Tuning,Other,ACPR,Localized benchmark repair,localized benchmarked code repair
Vul-R2,Fine-Tuning,Vulnerability repair datasets,PrimeVul,Vulnerability repair,security repair benchmark
TraceFixer,Fine-Tuning,Other,CodeNet,Localized benchmark repair,localized benchmarked code repair
InferFix,Fine-Tuning,Other,InferredBugs,Localized benchmark repair,localized benchmarked code repair
