display_paradigm,control_subtype,system,training_dataset,base_model,benchmark,benchmark_family,metric,result,assumption,classification_reaudit
Fine-Tuning,Full Tuning,Huang et al.,Recoder dataset,CodeT5,Defects4J v1.2/2.0,Defects4J,pass@5,82/107,Perfect Fault Localization,
Fine-Tuning,Full Tuning,Jiang et al.,Recoder dataset,Incoder 7B,Defects4J v1.2/2.0,Defects4J,pass@10,31/138,Perfect Fault Localization,
Fine-Tuning,Full Tuning,VulMaster,"CVEFixes, Big-Vul",CodeT5,CVEFixes,Vulnerability repair datasets,EM,20%,"train/test split, requires CVE type",
Fine-Tuning,Full Tuning,RepairCAT,APPS,StarCoder-1B,APR Competition 2024,Other,pass@1000,14%,,
Fine-Tuning,Adapter Tuning,RepairLLaMA,Megadiff,CodeLlama 7B,HumanEval-Java,HumanEval-Java,pass@10,67.28%,code-region localization,
Fine-Tuning,Adapter Tuning,MORepair,TutorLLMCode,CodeLlama 13B,EvalRepair-Java,EvalRepair-Java,pass@10,77.90%,EvalPlus-augmented tests; no fault-location prompt,
Fine-Tuning,Adapter Tuning,Luo et al.,TutorCode,CodeLlama 13B,EvalRepair-Java,EvalRepair-Java,pass@10,76.88%,100-client federated fine-tuning; EvalPlus-augmented tests; no fault-location prompt,
Fine-Tuning,Adapter Tuning,Li et al.,APR-Instruction,DeepSeek-Coder 6.7B,HumanEval-Java,HumanEval-Java,pass@10,68.10%,Perfect Fault Localization,
Fine-Tuning,Adapter Tuning,Ruiz et al.,Recoder dataset,DeepSeek-Coder 6.7B,HumanEval-Java,HumanEval-Java,pass@10,78%,LoRA fine-tuning; iterative repair; source table reports pass@10 percentage,
Fine-Tuning,Knowledge Distillation,KNOD,GitHub,/,Defects4J v1.2/2.0,Defects4J,pass@1000,122/837,Perfect Fault Localization,
Fine-Tuning,Knowledge Distillation,DistiLRR,MBPP,CodeLlama-7B,HumanEval-Perl,Other,pass@1,43.9%,train/test split,
Fine-Tuning,Knowledge Distillation,NARRepair,selfAPR,CodeT5,Defects4J v1.2/2.0,Defects4J,pass@1,110/127,Perfect Fault Localization,
Fine-Tuning,RL Tuning,RePair,CodeNet4Repair,StarCoder-16B,CodeNet4Repair,Other,pass@5,65.66%,train/test split,
Fine-Tuning,RL Tuning,SecRepair,InstructVul,CodeGen2-7B,InstructVul,Other,F1,82,train/test split,
Fine-Tuning,RL Tuning,SWE-RL,Seed RL,Llama3 70B,SWE-bench Verified,SWE-bench Verified,pass@1,41.00%,with Agentless pipeline,
Fine-Tuning,RL Tuning,AdaPatcher,ACPR,CodeLlama-7B,ACPR,Other,pass@1,67.57%,train/test split,
Fine-Tuning,RL Tuning,Vul-R2,PrimeVul,Qwen-14B-Instruct-1M,PrimeVul,Vulnerability repair datasets,full match,24.83%,sample size 10; PrimeVul test set,
Fine-Tuning,Full Tuning,TraceFixer,CodeNet,CodeT5-small,CodeNet,Other,pass@10,87%,,
Fine-Tuning,Full Tuning,InferFix,InferredBugs,Codex-12B,InferredBugs,Other,pass@1,76.80%,train/test split,
Fine-Tuning,Full Tuning,PyTy,PyTyDefects,CodeT5,PyTyDefects,Other,full match,54.40%,train/test split,
Fine-Tuning,Full Tuning,NTR,TRANSFER,CodeLlama-70B,HumanEval-Java,HumanEval-Java,pass@100,90.6%,Perfect Fault Localization,
Prompting,Zero-shot,AlphaRepair,,CodeBERT,Defects4J v1.2/2.0,Defects4J,pass@k (5h),74/109,Perfect Fault Localization,
Prompting,Zero-shot,Prenner et al.,,Codex-175B,Quixbugs,Other,pass@1,37/80,Perfect Fault Localization,
Prompting,Zero-shot,Fan et al.,,Codex-175B,LMDefects,Other,pass@5,46/113,,
Prompting,Zero-shot,Tian et al.,,GPT-3.5 Turbo,Refactory,Other,pass@5,84.00%,1783 incorrect student programs; source also reports avg@5 60%,
Prompting,Few-shot,Xia et al.,,Codex 12B,Defects4J v1.2,Defects4J,pass@200,99/255,Perfect Fault Localization,
Prompting,Few-shot,Gao et al.,,Codex-175B,B2F small,Other,full match,32.25%,,
Prompting,Few-shot,Ahmed et al.,,Codex-175B,MODIT,Other,pass@30,31.80%,,
Prompting,Few-shot,CEDAR,,Codex-175B,ATLAS,Other,full match,76.55%,,
Prompting,Zero-/few-shot,Ehsani et al.,,Llama-3.3,BugsInPy,Other,pass@5,79.62%,Perfect Fault Localization,
Prompting,Zero-/few-shot,RLCE,,GPT-4,RepoBugs,Other,pass@1,81.45%,,
Prompting,Zero-/few-shot,DsRepair,,DeepSeek-Coder V2,DS-1000,Other,pass@1,29.18%,,
Prompting,Zero-/few-shot,D4C,,GPT-4,Defects4J v1.2/2.0,Defects4J,pass@10,180/437,single-function bugs,
Prompting,Zero-/few-shot,Appatch,,Claude 3.5 Sonnet,Zero-Day,Vulnerability repair datasets,F1,36.46,,
Prompting,Zero-/few-shot,TracePrompt,,GPT-4,HumanEval-Java,HumanEval-Java,accuracy,71.30%,,
Procedural,Test-Feedback Loop,ChatRepair,,GPT-3.5,Defects4J v1.2/2.0,Defects4J,pass@500,162/337,single-function bugs,
Procedural,Test-Feedback Loop,ThinkRepair,,GPT-3.5,Defects4J v1.2/2.0,Defects4J,pass@25,98/255,single-function bugs,
Procedural,Test-Feedback Loop,REx,,GPT-4,LoopInv,Other,pass@300,73.70%,,
Procedural,Test-Feedback Loop,ContrastRepair,,GPT-3.5,HumanEval-Java,HumanEval-Java,pass@40,84.05%,,
Procedural,Human-in-the-Loop,CREF,,GPT-4,TutorCode,Other,avg@5,76.60%,requires tutor guidance,
Procedural,Human-in-the-Loop,HULA,,GPT-4,Atlassian Jira issues,Other,merged PRs,56,requires human feedback,
Procedural,Human-in-the-Loop,DRCodePilot,,GPT-4 + CodeT5P,Flink,Other,full match,15.27%,requires solution-design cues,
Procedural,Scripted Tool Loop,Agentless,,GPT-4o,SWE-bench Lite,SWE-bench Lite,pass@1,32%,,
Procedural,Scripted Tool Loop,PATCH,,GPT-4,BFP,Other,pass@5,39.81%,,
Procedural,Scripted Tool Loop,KGCompass,,Claude Sonnet 4,SWE-bench Lite,SWE-bench Lite,pass@1,58.3%,repository-aware knowledge graph; source table also reports Claude 3.5 Sonnet at 46.0%,
Procedural,Scripted Tool Loop,Repilot,,Incoder 7B,Defects4J v1.2/2.0,Defects4J,pass@5000,116/273,single-hunk bugs,
Procedural,Scripted Tool Loop,SAN2PATCH,,GPT-4o,VulnLoc,Vulnerability repair datasets,pass@5,79.49% (31/39),VulnLoc final 39 vulnerabilities; sanitizer-log guided validation,
Procedural,Scripted Tool Loop,PredicateFix,,Claude 3.5 Sonnet,CVE,Vulnerability repair datasets,pass@1,81/117 (69.2%),117 CodeQL-recognized CVE vulnerabilities; manual inspection,
Procedural,Scripted Tool Loop,LLM4CVE,,Llama3 70B,CVEFixes,Vulnerability repair datasets,CodeBLEU similarity,+20%,,
Agentic,Tool-Augmented Agent,SWE-Agent,,GPT-4 Turbo,SWE-bench Lite,SWE-bench Lite,pass@1,18.00%,,
Agentic,Tool-Augmented Agent,SWE-Agent M,,GPT-4o,SWE-bench Multimodal,SWE-bench Other,pass@1,12.5%,,
Agentic,Tool-Augmented Agent,OpenHands,,Claude 3.5 Sonnet,SWE-bench Lite,SWE-bench Lite,pass@1,26%,,
Agentic,Tool-Augmented Agent,AutoCodeRover,,GPT-4,SWE-bench Lite,SWE-bench Lite,pass@1,19.00%,,
Agentic,Tool-Augmented Agent,RepairAgent,,GPT-3.5,Defects4J v1.2/2.0,Defects4J,pass@1,164/835,,
Agentic,Tool-Augmented Agent,LANTERN,,DeepSeek-V3,Rust subset of xCodeEval,Other,pass@10,87.67%,,
Agentic,Tool-Augmented Agent,VulDebugger,,GPT-4o,50 of ExtractFix and ARVO,Vulnerability repair datasets,pass@1,60.00% (30/50),dynamic-state debugging on 50 real-life projects,
Agentic,LLM-Gated Review,Abstain and Validate,,Gemini 2.0 Flash,Google,Other,accept@1,62%,,Learned bug-abstention and patch-validation judgments determine whether repair is attempted and whether a candidate survives validation; remains Agentic because learned judgment gates progression and acceptance.
Agentic,LLM-Gated Review,TSAPR,,GPT-3.5,Defects4J v1.2/2.0,Defects4J,pass@32,201/835 (24.07%),32-patch budget reported by source table,LLM-judge scores determine which candidates and MCTS search branches survive; remains Agentic because learned judgment gates candidate and branch survival.
Agentic,LLM-Gated Review,SpecRover,,Claude 3.5 Sonnet + GPT-4o,SWE-bench Lite,SWE-bench Lite,pass@1,31.00%,,"Reviewer approval routes a patch to regression and acceptance, while rejection feedback triggers further repair; remains Agentic because learned judgment gates acceptance and regeneration."
Agentic,Self-Controlled System,MAGIS,,GPT-4,SWE-bench Lite,SWE-bench Lite,pass@1,25.33%,,
Agentic,Self-Controlled System,SWE-Search,,GPT-4o,SWE-bench Lite,SWE-bench Lite,pass@1,31.00%,,
Agentic,Self-Controlled System,Learn-by-Interact,,Claude 3.5 Sonnet,SWE-bench,SWE-bench Other,pass@1,60.00%,environment documentation and synthesized trajectories,
Prompting,Zero-/few-shot,PailGen,,DeepSeek-Coder V2,Big-Vul_CVEfixes,Vulnerability repair datasets,EM,23.23%,function-level vulnerability patches; reference full-match/EM,
