record_id,title,year,venue,doi,final_reference_decision,audit_coder_a_decision,audit_coder_b_raw_decision,audit_coder_b_after_adjudication_decision,audit_coder_a_b_raw_match,audit_coder_b_after_adjudication_matches_final,adjudication_note
S5-001,A 1Mb mixed-precision quantized encoder for image classification and patch-based compression,2025,arXiv,10.1109/tcsvt.2022.3145024,exclude,exclude,exclude,exclude,true,true,
S5-002,A Case Study of LLM for Automated Vulnerability Repair: Assessing Impact of Reasoning and Patch Validation Feedback,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-003,A Comprehensive Survey of AI-Driven Advancements and Techniques in Automated Program Repair and Code Generation,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-004,A Cooperative Repair Scheme for Zigzag MSR Codes in Distributed Storage Systems,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-005,A Critical Review of Large Language Model on Software Engineering: An Example from ChatGPT and Automated Program Repair,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-006,A Deep Dive into Large Language Models for Automated Bug Localization and Repair,2024,FSE 2024,10.1145/3660773,exclude,exclude,exclude,exclude,true,true,
S5-007,A Formula for the I/O Cost of Linear Repair Schemes and Application to Reed-Solomon Codes,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-008,A Global and Patch-wise Contrastive Loss for Accurate Automated Exudate Detection,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-009,A Logic for Repair and State Recovery in Byzantine Fault-tolerant Multi-agent Systems,2024,arXiv,10.1007/978-3-031-63501-4_7,exclude,exclude,exclude,exclude,true,true,
S5-010,A Multi-Dataset Evaluation of Models for Automated Vulnerability Repair,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-011,A Study of Vulnerability Repair in JavaScript Programs with Large Language Models,2024,arXiv,10.1145/3589335.3651463,exclude,exclude,exclude,exclude,true,true,
S5-012,"A study on Prompt Design, Advantages and Limitations of ChatGPT for Deep Learning Program Repair",2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-013,A Survey of Learning-based Automated Program Repair,2023,TOSEM,10.1145/3631974,exclude,exclude,exclude,exclude,true,true,
S5-014,"A Survey of LLM-based Automated Program Repair: Taxonomies, Design Paradigms, and Applications",2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-015,A Survey on Automated Program Repair Techniques,2023,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-016,A Systematic Literature Review on Large Language Models for Automated Program Repair,2024,arXiv.org,10.48550/arxiv.2405.01466,exclude,exclude,exclude,exclude,true,true,
S5-017,"A Systematic Review on Detection, Repair, and Explanation of Vulnerabilities in Source Code Using Large Language Models",2025,IEEE Access,10.1109/access.2025.3631363,exclude,exclude,exclude,exclude,true,true,
S5-018,Abstain and Validate: A Dual-LLM Policy for Reducing Noise in Agentic Program Repair,2026,ICSE-SEIP 2026,https://arxiv.org/abs/2510.03217,include,include,include,include,true,true,
S5-019,Accelerating Automatic Program Repair with Dual Retrieval-Augmented Fine-Tuning and Patch Generation on Large Language Models,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-020,Accelerating Patch Validation for Program Repair With Interception-Based Execution Scheduling,2024,TSE,10.1109/tse.2024.3359969,exclude,exclude,exclude,exclude,true,true,
S5-021,ACFix: Guiding LLMs With Mined Common RBAC Practices for Context-Aware Repair of Access Control Vulnerabilities in Smart Contracts,2025,TSE,10.1109/tse.2025.3590108,exclude,exclude,include,exclude,false,true,duplicate of U-001 ACFix; final corpus keeps the archival-status record
S5-022,Adapting Knowledge Prompt Tuning for Enhanced Automated Program Repair,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-023,Adaptive patch foraging in deep reinforcement learning agents,2022,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-024,AdaRevD: Adaptive Patch Exiting Reversible Decoder Pushes the Limit of Image Deblurring,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-025,AdHere: Automated Detection and Repair of Intrusive Ads,2023,ICSE 2023,,exclude,exclude,exclude,exclude,true,true,
S5-026,AdverIntent-Agent: Adversarial Reasoning for Repair Based on Inferred Program Intent,2025,ISSTA 2025,10.1145/3728939,exclude,exclude,exclude,exclude,true,true,
S5-027,Adversarial Bug Reports as a Security Risk in Language Model-Based Automated Program Repair,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-028,Agent That Debugs: Dynamic State-Guided Vulnerability Repair,2025,arXiv,,include,include,include,include,true,true,
S5-029,Agentic Bug Reproduction for Effective Automated Program Repair at Google,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-030,Agentic Program Repair from Test Failures at Scale: A Neuro-symbolic approach with static analysis and test execution feedback,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-031,Agentic Reinforcement Learning for Real-World Code Repair,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-032,Agentless: Demystifying LLM-based Software Engineering Agents,2024,arXiv.org,10.48550/arxiv.2407.01489,exclude,exclude,exclude,exclude,true,true,
S5-033,Aligning the Objective of LLM-based Program Repair,2025,ICSE 2025,10.1109/ICSE55347.2025.00169,include,include,include,include,true,true,
S5-034,An Empirical Study of Automation in Software Security Patch Management,2022,ASE 2022,,exclude,exclude,exclude,exclude,true,true,
S5-035,An Empirical Study on Fine-tuning Large Language Models of Code for Automated Program Repair,2023,ASE 2023,,include,include,exclude,include,false,true,retained: empirical study proposes or evaluates a key LLM-based repair method used in the taxonomy/evidence base
S5-036,APPATCH: Automated Adaptive Prompting Large Language Models for Real-World Software Vulnerability Patching,2025,USENIX Security 2025,,include,include,include,include,true,true,
S5-037,APPT: Boosting Automated Patch Correctness Prediction via Fine-Tuning Pre-Trained Models,2024,TSE,10.1109/tse.2024.3354969,exclude,exclude,exclude,exclude,true,true,
S5-038,Arithmetical Structures on Coconut Trees,2024,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-039,ARSP: Automated Repair of Verilog Designs via Semantic Partitioning,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-040,ASAP-Repair: API-Specific Automated Program Repair Based on API Usage Graphs,2024,arXiv,10.1145/3643788.3648011,exclude,exclude,exclude,exclude,true,true,
S5-041,Assessing the Latent Automated Program Repair Capabilities of Large Language Models using Round-Trip Translation,2024,arXiv,10.1145/3771922,exclude,exclude,exclude,exclude,true,true,
S5-042,Asymptotically Optimal Repair of Reed-Solomon Codes with Small Sub-Packetization under Rack-Aware Model,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-043,Attention Pruning: Automated Fairness Repair of Language Models via Surrogate Simulated Annealing,2026,ICSE 2026,,exclude,exclude,exclude,exclude,true,true,
S5-044,Audit & Repair: An Agentic Framework for Consistent Story Visualization in Text-to-Image Diffusion Models,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-045,AuPair: Golden Example Pairs for Code Repair,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-046,"Author Once, Publish Everywhere: Portable Metadata Authoring with the CEDAR Embeddable Editor",2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-047,Auto-repair without test cases: How LLMs fix compilation errors in large industrial embedded code,2025,arXiv,,exclude,exclude,exclude,exclude,true,true,
S5-048,AutoCodeRover: Autonomous Program Improvement,2024,ISSTA 2024,10.1145/3650212.3680384,include,include,include,include,true,true,
