system,pdf_path,category,page,snippet
Huang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/An_Empirical_Study_on_Fine-Tuning_Large_Language_Models_of_Code_for_Automated_Program_Repair.pdf,leakage,4,"uting resource should be readily available (e.g., a RTX 3090 GPU), which means that the model size is at the million level. Also, the model parameters of all LLMCs should be of similar size for a fairer comparison of the repair capability. Second, the pre-trained model and its data should be open-sourced, which allows for ﬁne-tuning models and analyzing the pre-training data (e.g., data leak). Finally, we choose 5 models: CodeBERT [20], GraphCode- BERT (GraphCode) [32], PLBART [38], CodeT5 [37], and UniXcoder [46]. More details of models are shown in Table I. C. Datasets and Baselines As shown in Table II, we describe the datasets and baselines. 1) Software Bug Repair: In bug repair tasks, we evaluate LLMCs on large-scale datasets and small-scale benchmarks. Datasets. We use the BFP dataset including the small and medium versions (BFP S and BFP M) provided by Tufanol et al. [7] (Task"
Huang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/An_Empirical_Study_on_Fine-Tuning_Large_Language_Models_of_Code_for_Automated_Program_Repair.pdf,leakage,4,"readily available (e.g., a RTX 3090 GPU), which means that the model size is at the million level. Also, the model parameters of all LLMCs should be of similar size for a fairer comparison of the repair capability. Second, the pre-trained model and its data should be open-sourced, which allows for ﬁne-tuning models and analyzing the pre-training data (e.g., data leak). Finally, we choose 5 models: CodeBERT [20], GraphCode- BERT (GraphCode) [32], PLBART [38], CodeT5 [37], and UniXcoder [46]. More details of models are shown in Table I. C. Datasets and Baselines As shown in Table II, we describe the datasets and baselines. 1) Software Bug Repair: In bug repair tasks, we evaluate LLMCs on large-scale datasets and small-scale benchmarks. Datasets. We use the BFP dataset including the small and medium versions (BFP S and BFP M) provided by Tufanol et al. [7] (Task ) and the Sequen"
Huang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/An_Empirical_Study_on_Fine-Tuning_Large_Language_Models_of_Code_for_Automated_Program_Repair.pdf,leakage,7,"ber of ﬁxed single-hunk bugs and the number of multi-hunk bugs. We hope such results can encourage researchers to explore more advanced approaches for repairing complex bugs, as they are more common in real- world projects. Finding 5 : Fine-tuning LLMCs to ﬁx multi-hunk bugs is also promising, though it is more difﬁcult compared with single-line bug repair. Data Leakage. Prior work AlphaRepair [17] uncovered the data leak issue when using LLMCs for APR, that is, the over- lap between the pre-training data (CSN, i.e.,CodeSearchNet) and the test benchmark (D4J, i.e.,Defects4J). To reveal its impact, we follow AlphaRepair to analyze the LLMCs’ repair results with respect to the data leak. We searched for the exact match and identiﬁed 48 overlaps between D4J IDs and CSN. Then we checked if the patches generated by LLMCs were identical to those present in D4J. In Task , among the"
Huang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/An_Empirical_Study_on_Fine-Tuning_Large_Language_Models_of_Code_for_Automated_Program_Repair.pdf,leakage,7,"k bugs. We hope such results can encourage researchers to explore more advanced approaches for repairing complex bugs, as they are more common in real- world projects. Finding 5 : Fine-tuning LLMCs to ﬁx multi-hunk bugs is also promising, though it is more difﬁcult compared with single-line bug repair. Data Leakage. Prior work AlphaRepair [17] uncovered the data leak issue when using LLMCs for APR, that is, the over- lap between the pre-training data (CSN, i.e.,CodeSearchNet) and the test benchmark (D4J, i.e.,Defects4J). To reveal its impact, we follow AlphaRepair to analyze the LLMCs’ repair results with respect to the data leak. We searched for the exact match and identiﬁed 48 overlaps between D4J IDs and CSN. Then we checked if the patches generated by LLMCs were identical to those present in D4J. In Task , among the 48 patches, only Lang 43, Math 22, and Mockito 5 were id"
Huang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/An_Empirical_Study_on_Fine-Tuning_Large_Language_Models_of_Code_for_Automated_Program_Repair.pdf,leakage,7,"ed approaches for repairing complex bugs, as they are more common in real- world projects. Finding 5 : Fine-tuning LLMCs to ﬁx multi-hunk bugs is also promising, though it is more difﬁcult compared with single-line bug repair. Data Leakage. Prior work AlphaRepair [17] uncovered the data leak issue when using LLMCs for APR, that is, the over- lap between the pre-training data (CSN, i.e.,CodeSearchNet) and the test benchmark (D4J, i.e.,Defects4J). To reveal its impact, we follow AlphaRepair to analyze the LLMCs’ repair results with respect to the data leak. We searched for the exact match and identiﬁed 48 overlaps between D4J IDs and CSN. Then we checked if the patches generated by LLMCs were identical to those present in D4J. In Task , among the 48 patches, only Lang 43, Math 22, and Mockito 5 were identiﬁed, and a similar pattern was observed in Task . The results imply that ﬁne-tun"
Huang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/An_Empirical_Study_on_Fine-Tuning_Large_Language_Models_of_Code_for_Automated_Program_Repair.pdf,leakage,7,"mpared with single-line bug repair. Data Leakage. Prior work AlphaRepair [17] uncovered the data leak issue when using LLMCs for APR, that is, the over- lap between the pre-training data (CSN, i.e.,CodeSearchNet) and the test benchmark (D4J, i.e.,Defects4J). To reveal its impact, we follow AlphaRepair to analyze the LLMCs’ repair results with respect to the data leak. We searched for the exact match and identiﬁed 48 overlaps between D4J IDs and CSN. Then we checked if the patches generated by LLMCs were identical to those present in D4J. In Task , among the 48 patches, only Lang 43, Math 22, and Mockito 5 were identiﬁed, and a similar pattern was observed in Task . The results imply that ﬁne-tuned LLMCs are minimally affected by data leakage. However, this also means that LLMCs may tend to lose certain pre-trained knowledge during the ﬁne- tuning process, highlighting the pr"
Huang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/An_Empirical_Study_on_Fine-Tuning_Large_Language_Models_of_Code_for_Automated_Program_Repair.pdf,extra_validation,4,"uation phase to perform patch synthesis. We do not consider the post-processing since it has already been well studied [16] and is out of our scope. In the benchmark with test cases, we followed the validation strategy from previous works [8]– [12], [14], [17], [24], [42], [44], [45]. First, we run test cases to ﬁlter out plausible patches. Then two authors manually check the plausible patches to determine whether a plausible patch is correct or incorrect patch. Finally, the result is correct patches / plausible patches (X/Y). In the benchmark without test cases, we follow previous works [7], [18], [25], [39]–[41] and use the exact match strategy to calculate the repair accuracy (Z%). TABLE I: Details of the selected LLMCs. Model Size Type Dataset CodeBERT 125M Encoder CodeSearchNet GraphCodeBERT 125M Encoder CodeSearchNet PLBART 140M Encoder-Decoder StackOverﬂow and BigQuery CodeT"
Huang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/An_Empirical_Study_on_Fine-Tuning_Large_Language_Models_of_Code_for_Automated_Program_Repair.pdf,extra_validation,8,"ails UniXcoder UniXcoder-nine CR3 raw + PPL 50.64% 43.90% CR3 raw + BLEU 62.08% 62.37% CR3 raw + Last 62.19% 62.66% CR3 raw + ALL 63.77% 64.71% Although CR3 uses a coarse-grained markup approach, it simpliﬁes the repair operation, thereby enhancing the model’s repair capability. Finding 9 : Using ﬁner-grained code representations is not con- ducive to fully exploiting the repair capability of LLMCs, and CR3 remains the best representation on vulnerability repair. Checkpoint Selection. As shown in Table VIII, the repair results using BLEU are better than those using PPL and LOSS. We infer this due to the random partitioning of the VulRepair dataset into train/val/test sets from Big-Vul and CVEﬁxes. Based on previous ﬁndings (Section IV -B1), BLEU is better suited for this scenario. After combining multiple models, we achieve up to 20.04% improvement in repair accuracy using C"
Huang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/An_Empirical_Study_on_Fine-Tuning_Large_Language_Models_of_Code_for_Automated_Program_Repair.pdf,extra_validation,11,"prehensive study on the repair capabilities of LLMCs in various repair scenarios under the NMT ﬁne-tuning paradigm. Our results show that even without any post-processing strategies, LLMCs can already achieve excellent results, and surpass many previous APR works. Importantly, we present some practical guidelines on how to choose different designs to better exploit the repair capability of LLMCs, and show how they can repair complex defects. We also analyze and discuss some limitations found during the evaluation and point out future directions. Furthermore, our results on various benchmarks can serve as the baselines for subsequent works with reference. In conclusion, LLMC-based APR has great potential for practical use, and more efforts are needed to promote LLM4APR research in the future. A CKNOWLEDGMENT We thank the anonymous reviewers for their insightful comments to im"
Jiang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Impact of Code Language Models on Automated.pdf,leakage,1,"n buggy lines. Lastly, this work analyzes the size, time, and memory efﬁciency of different CLMs. This work shows promising directions for the APR domain, such as ﬁne-tuning CLMs with APR-speciﬁc designs, and also raises awareness of fair and comprehensive evaluations of CLMs and calls for more transparent reporting of open-source reposi- tories used in the pre-training data to address the data leaking problem. Index Terms —Automated Program Repair, Code Language Model, Fine-Tuning, Deep Learning 2023 IEEE/ACM 45rd International Conference on Software Engineering (ICSE) xxxxx © 2023 IEEE. DOI xxxxx I. I NTRODUCTION Automated program repair (APR) [1]–[3] helps developers im- prove software reliability by generating patches automatically to repair software defects. Many deep learning (DL)-based APR techniques [4]–[13] adapt DL models to take a buggy software program as input and generat"
