system,pdf_path,leakage_discussion_or_control,leakage_evidence_page,leakage_evidence,leakage_notes,active_leakage_mitigation_or_control,extra_validation_beyond_public_tests,validation_type,validation_evidence_page,validation_evidence,validation_notes
Huang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/An_Empirical_Study_on_Fine-Tuning_Large_Language_Models_of_Code_for_Automated_Program_Repair.pdf,yes,7,"ults can encourage researchers to explore more advanced approaches for repairing complex bugs, as they are more common in real- world projects. Finding 5 : Fine-tuning LLMCs to ﬁx multi-hunk bugs is also promising, though it is more difﬁcult compared with single-line bug repair. Data Leakage. Prior work AlphaRepair [17] uncovered the data leak issue when using LLMCs for APR, that is, the over- lap between the pre-training data (CSN, i.e.,CodeSearchNet) and the test benchmark (D4J, i.e.,Defects4J). To reveal its impact, we follow AlphaRepair to analyze the LLMCs’ repair results with respect to the data leak. We searched for the exact match and identiﬁed 48 overlaps between D4J IDs and CSN. Then we checked if the patches generated by LLMCs were identical to those present in D4J. In Task , among the 48 patches, only Lang 43, M",Discusses Defects4J/pretraining overlap and follows AlphaRepair-style leakage analysis.,no,yes,manual semantic patch check,4,"-processing since it has already been well studied [16] and is out of our scope. In the benchmark with test cases, we followed the validation strategy from previous works [8]– [12], [14], [17], [24], [42], [44], [45]. First, we run test cases to ﬁlter out plausible patches. Then two authors manually check the plausible patches to determine whether a plausible patch is correct or incorrect patch. Finally, the result is correct patches / plausible patches (X/Y). In the benchmark without test cases, we follow previous works [7], [18], [25], [39]–[41] and use the exact match strategy to calculate the repair accuracy (Z%). TABLE I: Details of the selected LLMCs. Model Size Type Dataset CodeBERT 125M Encoder CodeSearchNet GraphCodeBERT 125M Encoder CodeSearchNet PLBART 140M Encoder-Decoder StackOverﬂow and BigQuery CodeT",Manually checks plausible patches after test execution.
Jiang et al.,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Impact of Code Language Models on Automated.pdf,yes,1,"promising directions for the APR domain, such as ﬁne-tuning CLMs with APR-speciﬁc designs, and also raises awareness of fair and comprehensive evaluations of CLMs and calls for more transparent reporting of open-source reposi- tories used in the pre-training data to address the data leaking problem. Index Terms —Automated Program Repair, Code Language Model, Fine-Tuning, Deep Learning 2023 IEEE/ACM 45rd International Conference on Software Engineering (ICSE) xxxxx © 2023 IEEE. DOI xxxxx I. I NTRODUCTION Automated program repair (APR) [1]–[3] helps developers im- prove software reliability by generating patches automatically to repair software defects. Many deep learning (DL)-based APR techniques [4]–[13] adapt DL models to take a buggy software program as input and generate a patched program. A typical DL-ba",Introduces HumanEval-Java as a benchmark to avoid data leaking.,yes,yes,manual semantic patch check,6,"we let each tool (CLMs, ﬁne-tuned CLMs, or DL-based APR techniques) generate ten candidate patches for each bug and run the developer-written test cases on the patched program. The ﬁrst patched program that passes all the test cases is considered a plausible patch. And we ﬁnally manually check the correctness of plausible patches to distinguish correct patches (which should be identical or semantically equivalent to developer-written patches). IV. RQ1: F IXING CAPABILITIES Table II shows the ﬁxing capabilities of the ten CLMs and three state-of-the-art DL-based APR techniques on four bug benchmarks, including our new HumanEval-Java. We report the number of correct patches within the top ten patches generated by each technique since recent work shows that 93% of developers are only willing to review up to ten patches [2",Manually checks plausible patches for semantic equivalence.
VulMaster,"Fine-Tuning Approaches/Supervised fine-tuning of Full Models/Out of sight, out of mind Better automatic  vulnerability repair by broadening input ranges and sources..pdf",yes,2,"d- els and integrated with other valuable aiding information. • We discover more diverse and valuable information such as vul- nerable code structures and expert knowledge for CWEs, which can boost the effectiveness of repairing vulnerability. • We further identify and address a hidden label leakage issue in the datasets used in the prior work, which can contribute to a more precise evaluation of future studies. 2 PRELIMINARIES AND MOTIV ATION 2.1 Motivating Example In ❶ of Figure 1, we show an example to analyze how junior secu- rity engineers repair a vulnerable function of CWE-125 (e.g., the vulnerable code before fixing shown in ❷ of Figure 1) and explain our two motivations below. (1) Understanding the vulnerable function is the first thing. Instead of directly crafting an appropriate fix, the security develop",Identifies and corrects label leakage caused by duplicated vulnerability/fix samples.,yes,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
RepairCAT,Fine-Tuning Approaches/Supervised fine-tuning of Full Models/RepairCAT Applying Large Language Model to Fix Bugs in AI-Generated Programs..pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
RepairLLaMA,Fine-Tuning Approaches/Parameter-Efficient Fine-Tuning/Repairllama Efficient representations and fine-tuned adapters  for program repair..pdf,yes,6,"erted in Hu- manEval [35] Java programs. HumanEval-Java contains 162 single-function bugs. GitBug-Java is a bug benchmark of recent bugs, collected from the 2023 commit history of 55 open-source repositories, comprising 90 single-function bugs. Contrary to Defects4J, GitBug-Java suffers from less data leakage in the pre-training data since all bugs are much more recent than Defects4J. Notably, GitBug-Java exclusively contains bugs from after the training data cutoff date of all models used in our experiments: CodeLlama-7b (September 2022) [24], gpt-4-0613 (September 2021) 2, and gpt-3.5-turbo-0613 (September 2021) 2. Fine-T uning Hyperparameters We fine-tune CodeLLaMA with LoRA for each of our curated code representations with the same hyper-parameter settings: we set the learning rate to 5e-4 with cosine decay, max in",Uses recent GitBug-Java and discusses pretraining-cutoff leakage mitigation.,yes,yes,manual/expert semantic patch check,6,"xact-match patch is textually identical to a developer-provided reference patch, incl. spaces and formatting. 3) An AST-match patch has an AST which is equivalent to the AST of the developer-provided reference patch. 4) A semantic-match patch is a patch deemed equiva- lent after manual assessment by an expert. Plausible and exact-match patches are straightforward. Let us dwell on the two other kinds. The major advantage of an AST-match patch is to com- pute performance regardless of formatting and indentation changes. It is also more scalable than manually checking patches for correctness without expertise in the programs under repair. The AST-match process involves converting plausible and reference patches into abstract syntax trees [36] and subsequently utilizing AST differencing [37] to compare their ASTs for discr",Uses AST matching and expert manual assessment for semantic-match patches.
MORepair,Fine-Tuning Approaches/Parameter-Efficient Fine-Tuning/MORepair Teaching LLMs to Repair Code via Multi-Objective Fine-tuning.pdf,yes,6,"ch accompanied by a human-written rationale for the repair provided by the company’s programming tutors, who are paid domain experts in solving and teaching programming problems. To avoid potential data leakage between training and evaluation, we carefully verified that there is no overlap between the 45 programming tasks in TutorLLMCode and the 164 tasks in HumanEval-X that were used to create our benchmarks EvalRepair-C++ and EvalRepair-Java. While TutorLLMCode contains human-written repair rationales, our analysis shows their limi- tations: they average only 36 words and mainly highlight fix locations rather than repair reasoning (Listing 1). In contrast, GPT-4-1106-preview generates more comprehensive explanations (Listing 2), detailing repair logic, step-by-step reasoning, potential fix strategies, and implementation con- side",Verifies no task overlap between training and EvalRepair benchmark tasks.,yes,yes,additional generated tests,12,"64 163 single-hunk bugs 143 144 multi-hunk bugs 21 19 average functions 1.02 1.07 test cases 96799 95677 However, we recognized the potential for overfitting due to limited test cases. To address this, we enriched EvalRepair-C++ and EvalRepair-Java by combining both original and additional test cases from EvalPlus [33], which we translated to C++ and Java. This expansion revealed that some original solutions in HumanEval-X failed to pass the new, more rigorous test cases. We corrected these issues in both languages to ensure the correctness of the augmented benchmarks. As a result, the average number of test cases per problem increased significantly to 590 and 587 for EvalRepair-C++ and EvalRepair-Java, respectively. This augmentation actively mitigates patch overfitting issues and provides a more accurate assessment of mod",Augments EvalRepair-C++/Java with EvalPlus-derived additional tests.
Luo et al.,Fine-Tuning Approaches/Parameter-Efficient Fine-Tuning/When Fine-Tuning LLMs Meets Data Privacy An Empirical Study of Federated Learning in  LLM-Based Program Repair..pdf,yes,12,"er major concern for the evaluation benchmark due to the limitations of the test cases. The generated patches can be incorrect even though they have passed the test cases in the benchmark if deficient test suites fail to validate key intentions in the code [ 58, 100]. Therefore, preventing data leakage and minimizing patch overfitting is paramount. – Secondly, the use of prevalent programming languages ensures compatibility and ease of integration with tools commonly employed in both academia and industry. To that end, according to the findings by Zhang et al. [ 128] and the trends in the use of programming languages on GitHub 3, the programming languages widely adopted in current communities include Python, Java, C++, C and JavaScript. Therefore, we aim to choose datasets with programming languages that fall wi",Chooses private/proprietary training data and EvalRepair-Java to reduce leakage risk.,yes,yes,additional generated tests,13,"eover, HumanEval-Java 4 was released on the open-source platform GitHub later than HumanEval-X 5, thereby reducing the potential risk of data leakage. EvalRepair-Java provides enhanced test cases that more accurately reflect the performance of the fine-tuned LLMs. By integrating additional test cases from EvalPlus [ 60], EvalRepair-Java significantly increases the average number of test cases per problem from 7 to 583. This substantial expansion of test cases plays a vital role in mitigating the risk of patch overfitting caused by a limited number of test cases during the evaluation process. While our fine-tuning dataset contains C++ programs, we use EvalRepair-Java as the evaluation benchmark rather than EvalRepair-C++ [118] to ensure rigorous evaluation that prioritizes leakage avoidance. EvalRepair-Java was built upon th",Uses EvalRepair-Java with EvalPlus-expanded tests.
Li et al.,Fine-Tuning Approaches/Parameter-Efficient Fine-Tuning/Exploring Parameter-Efficient Fine-Tuning of Large Language.pdf,yes,5,"h- mark for well-known algorithm-related issues, and HumanEval- Java [20], which covers 163 single-hunk Java bugs varying from sim- ple errors to complex logical bugs. In all benchmarks, the location of the bug liens is known and label. Importantly, HumanEval-Java demonstrates a reduction of data leakage risks between pre-training data and benchmarks. All three benchmarks provide corresponding test suites for each bug, which are used to evaluate the correctness of the generated patches. 2.5.2 Patch generation and validation. In experiments, LLMs gen- erate 10 candidate patches for each example in the benchmark. Recent studies [45] on developer preferences have shown that high- quality patches ranked within the top 10, generated within an acceptable time frame of 1 hour, are considered more valuable. Con- sequently, we i",Notes HumanEval-Java as reducing pretraining/benchmark leakage risk.,yes,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
Ruiz et al.,Fine-Tuning Approaches/Parameter-Efficient Fine-Tuning/The Art of Repair Optimizing Iterative Program Repair with Instruction-Tuned Models.pdf,yes,9,"base models can obtain more substantial gains from the iterative refinement. Finding 11: Complex problems benefit greatly from iterative refinement, but each model has an optimal iteration threshold after which gains decline. 5 Threats to validity One key internal threat is the potential data leakage from the bench- marks into the pretraining data of the models, specially for older widely-known benchmarks like Defects4J. We mitigate this threat by assessing the models on a complementary recent benchmark specifically designed to address data leakage (i.e., HumanEval-Java), and by including models like Llama3.1 which have shown less sus- ceptibility to memorization [62]. Another internal validity threat is the introduction of bias when selecting hyperparameters in the fine-tuning and generation. We address this by using standa",Discusses benchmark leakage and mitigates with HumanEval-Java and newer models.,yes,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
KNOD,Fine-Tuning Approaches/Knowledge Distilling/KNOD_Domain_Knowledge_Distilled_Tree_Decoder_for_Automated_Program_Repair.pdf,no,,,No explicit contamination/data-leakage discussion or control found in the audited full text.,no,no,,,,"No hidden/additional tests, manual/expert review, static/runtime validation, or independent validation beyond ordinary benchmark/public tests found in the audited full text."
