system,benchmark_family,benchmark,original_display_paradigm,original_control_subtype,original_deployment_scenario,coder_2_display_paradigm,coder_2_control_subtype,coder_2_retrieval_tag,coder_2_analysis_tag,coder_2_deployment_scenario,coder_2_evidence_location,coder_2_rationale,coder_3_display_paradigm,coder_3_control_subtype,coder_3_retrieval_tag,coder_3_analysis_tag,coder_3_deployment_scenario,coder_3_evidence_location,coder_3_rationale
Huang et al.,Defects4J,Defects4J v1.2/2.0,Fine-Tuning,Full Fine-Tuning,Localized benchmark repair,Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Abstract,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract.",Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Abstract,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract."
Jiang et al.,Defects4J,Defects4J v1.2/2.0,Fine-Tuning,Full Fine-Tuning,Localized benchmark repair,Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Section 3.2 Section 4.1,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section 3.2 Section 4.1.",Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Section 3.2 Section 4.1,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section 3.2 Section 4.1."
VulMaster,Vulnerability repair datasets,CVEFixes,Fine-Tuning,Full Fine-Tuning,Vulnerability repair,Fine-Tuning,Full Fine-Tuning,no,yes,Vulnerability repair,Section 3  Section 4.1,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=no, analysis=yes, scenario=Vulnerability repair, based on Section 3  Section 4.1.",Fine-Tuning,Full Fine-Tuning,no,yes,Vulnerability repair,Section 3  Section 4.1,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=no, analysis=yes, scenario=Vulnerability repair, based on Section 3  Section 4.1."
RepairCAT,Other,APR Competition 2024,Fine-Tuning,Full Fine-Tuning,Localized benchmark repair,Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Section III-B Section III-C,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section III-B Section III-C.",Fine-Tuning,Full Fine-Tuning,no,yes,Localized benchmark repair,Section III-B Section III-C,"Coded as Fine-Tuning / Full Fine-Tuning; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section III-B Section III-C."
RepairLLaMA,HumanEval-Java,HumanEval-Java,Fine-Tuning,PEFT,Localized benchmark repair,Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.2,"Coded as Fine-Tuning / PEFT; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section 3.2.",Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.2,"Coded as Fine-Tuning / PEFT; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section 3.2."
MORepair,EvalRepair-Java,EvalRepair-Java,Fine-Tuning,PEFT,Localized benchmark repair,Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.1,"Coded as Fine-Tuning / PEFT; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section 3.1.",Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.1,"Coded as Fine-Tuning / PEFT; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section 3.1."
Luo et al.,EvalRepair-Java,EvalRepair-Java,Fine-Tuning,PEFT,Localized benchmark repair,Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.2,"Coded as Fine-Tuning / PEFT; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section 3.2.",Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.2,"Coded as Fine-Tuning / PEFT; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section 3.2."
Li et al.,HumanEval-Java,HumanEval-Java,Fine-Tuning,PEFT,Localized benchmark repair,Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.1,"Coded as Fine-Tuning / PEFT; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section 3.1.",Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.1,"Coded as Fine-Tuning / PEFT; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section 3.1."
Ruiz et al.,HumanEval-Java,HumanEval-Java,Fine-Tuning,PEFT,Localized benchmark repair,Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.3,"Coded as Fine-Tuning / PEFT; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section 3.3.",Fine-Tuning,PEFT,no,yes,Localized benchmark repair,Section 3.3,"Coded as Fine-Tuning / PEFT; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Section 3.3."
KNOD,Defects4J,Defects4J v1.2/2.0,Fine-Tuning,Knowledge Distillation,Localized benchmark repair,Fine-Tuning,Knowledge Distillation,no,yes,Localized benchmark repair,Abstract Section 3.1 Section 4.1 Table 2,"Coded as Fine-Tuning / Knowledge Distillation; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract Section 3.1 Section 4.1 Table 2.",Fine-Tuning,Knowledge Distillation,no,yes,Localized benchmark repair,Abstract Section 3.1 Section 4.1 Table 2,"Coded as Fine-Tuning / Knowledge Distillation; retrieval=no, analysis=yes, scenario=Localized benchmark repair, based on Abstract Section 3.1 Section 4.1 Table 2."
