system,display_paradigm,leakage_discussion_confirmed,active_leakage_control_confirmed,generalization_threat_confirmed_lower_bound,correctness_threat_confirmed_lower_bound,additional_validation_confirmed,independent_validation_confirmed_lower_bound,randomness_explicit_concern,randomness_controlled_configuration,randomness_repeated_main_evaluation,randomness_targeted_repetition,randomness_candidate_multiplicity,randomness_reports_run_dispersion,randomness_acknowledged_no_empirical_control,correction_notes
ACFix,Prompting,yes,yes,yes,no,yes,no,yes,yes,no,no,no,no,no,leakage: earliest-cutoff models and GPT-4o exclusion
Abstain and Validate,Agentic,no,no,yes,yes,yes,yes,no,no,no,no,no,no,no,
AdaPatcher,Fine-Tuning,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,
Agentless,Procedural,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,
Ahmed et al.,Prompting,no,no,no,no,no,no,no,no,no,no,no,no,no,
AlphaRepair,Prompting,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,
Appatch,Prompting,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,
AutoCodeRover,Agentic,no,no,no,no,yes,no,yes,yes,yes,no,no,no,no,
CEDAR,Prompting,yes,no,no,no,yes,no,no,no,no,no,no,no,no,validation_add: sampled assertions manually checked for semantic equivalence
CREF,Procedural,yes,yes,yes,no,no,no,yes,yes,no,yes,yes,no,no,
ChatRepair,Procedural,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,
ContrastRepair,Procedural,yes,yes,yes,no,yes,no,yes,no,no,yes,no,no,no,
D4C,Prompting,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,correctness: incomplete test coverage and weak test oracles
DRCodePilot,Procedural,no,no,yes,yes,no,no,no,no,no,no,no,no,no,
DistiLRR,Fine-Tuning,no,no,yes,no,no,no,yes,yes,no,no,yes,no,no,
Dr.Fix,Prompting,yes,yes,yes,yes,yes,no,yes,yes,no,no,no,no,no,validation_add: human inspection underpins API-misuse labels and repair analysis
DsRepair,Prompting,yes,yes,yes,no,no,no,yes,no,no,yes,no,yes,no,"validation_remove: DS-1000's ordinary benchmark tests, not additional validation"
