risk_factor,coding_criterion,count,denominator,source,interpretation
perfect_fault_localization,Explicit perfect fault-localization assumption,10,66,benchmark_protocol_comparability_by_system.csv,Rows whose assumption bucket is Perfect FL.
train_test_split_style,Train/test-split-style repair evaluation,7,66,benchmark_protocol_comparability_by_system.csv,Rows whose assumption bucket records a train/test split.
narrowed_repair_scope,"Single-function, single-hunk, code-region, or function-level setting",6,66,benchmark_protocol_comparability_by_system.csv,Rows with explicitly narrowed repair scope in the assumption field.
pass_at_1_reporting,Reports pass@1,21,66,benchmark_passk_distribution_by_k.csv,Rows whose primary reported metric is pass@1.
larger_pass_at_k_reporting,Reports pass@k with k > 1,28,66,benchmark_passk_distribution_by_k.csv,Rows with a multiple-candidate pass@k metric.
non_passk_or_single_candidate_metric,Uses single-candidate or non-pass@k task-specific metric,17,66,benchmark_passk_distribution_by_k.csv,"Rows reported with full-match, EM, F1, CodeBLEU, success rate, repair accuracy, accept@1, merged PRs, or related task-specific metrics."
protocol_comparable_tier,"Falls in model-controlled, protocol-aligned, or limited comparison tier",13,66,benchmark_protocol_comparability_by_system.csv,"Rows in A, B, or C comparability tiers."
snapshot_only_tier,Snapshot-only for benchmark comparison,53,66,benchmark_protocol_comparability_by_system.csv,Rows in D_snapshot_only tier.
explicit_acceptance_gate_control,"Primary control subtype exposes test feedback, human feedback, or LLM-as-judge review",10,66,taxonomy_assignment_audit.csv,"Rows whose control subtype is Test-in-the-Loop, Human-in-the-Loop, or LLM-as-Judges."
explicit_contamination_or_leakage_discussion,"The paper explicitly discusses possible data contamination, leakage, benchmark overlap, or related mitigation concerns.",36,66,evaluation_reliability_by_system.csv,Counts explicit reporting about contamination or leakage risk; active mitigation or diagnostic controls are counted separately.
active_leakage_mitigation_or_control,"The paper reports a concrete leakage-mitigation or diagnostic control, such as decontamination, temporal or train/test split design, benchmark construction to avoid overlap, dataset exclusion, or explicit leakage analysis tied to the reported evaluation.",28,66,evaluation_reliability_by_system.csv,Subset of the explicit-reporting row; excludes papers that only acknowledge leakage risk without a concrete mitigation or diagnostic check.
hidden_manual_or_independent_validation_beyond_public_tests,"The evaluation uses hidden/held-out/additional tests, manual or expert review, LLM/human review, static or runtime validation, sanitizer/exploit reproduction, or a comparable independent validation signal beyond ordinary public benchmark tests.",39,66,evaluation_reliability_by_system.csv,Counts heterogeneous extra validation signals; it does not imply a shared oracle or directly comparable validation strength.
